id,object_a,object_b,sentence,most_frequent_label
T3179188500,wii,playstation,wii U GPU And CPU Slower Than Xbox 360 And playstation 3,worse
N2209429179,Nokia,Siemens,"Since 2003 I owned about 15 phones, and to be honest, Nokia and SonyEricsson will always stand high, but as I said, Siemens in the end just lost it due to not being smart enough to realise that there were/are better companies, and that you need to develop everything in the phone except for what they've just done, change the design.",better
I1361546429,Windows 8,Windows 7,"Is Windows 8 really better than Windows 7, Vista, or even XP?",better
P2475268117,Java,Perl,"The entity may even provide sample Java code, but Perl is a far better solution.",worse
H1195869632,Perl,PHP,"I'm asking about Perl because I believe it is more stable, more secure and faster than PHP.",better
P2558204659,Mercedes-Benz,Audi,The Mercedes-Benz E220 provides a solid option but it can't match the driving dynamics of the BMW or the style and interior luxury of the Audi.,worse
D392583415,OpenGL,Direct3D,But I have still found no answer to this very questiong.No one has given me one good reason why OpenGL is better than Direct3D.,better
M1996467790,PHP,Java,"PHP, for example, is arguably easier than Java to get a project started, but it is harder to scale and maintain for many years.",better
T3190503368,Groovy,Java,With @CompileStatic the performance of Groovy is about 1-2 times slower than Java and without about 3-5 times slower.,worse
K1721800388,missouri,carolina,"missouri is a decent team and I expect them to give Florida, Tennessee, and South carolina all they can handle and win 2 of those games.",better
P2567350211,MSI,Nvidia,The MSI NX8800GT OC isn't any worse than the Nvidia GeForce 8800 GTX starting from a resolution of 1600x1200 and even provides a better minimum of speed.,better
N2128388148,Chevrolet,Toyota,"Sales of the Chevrolet Cruze compact are closing in on 200,000 through October, far better than GM's previous compact and a strong counterpunch to Toyota and Honda.",better
B223805654,IBM,Dell,"Although IBM has extensive retail offerings, that's no excuse for a bumpy shopping site; Dell seems to manage its extensive retail much better.",worse
D440845742,california,carolina,california is a much harder place to practice law than is South carolina.,worse
G974550683,PHP,Java,"However, I do wish it was optimized better, but PHP is not Java.",better
G999645461,Java,Perl,I agree that Java is better than Perl.,better
A102026242,google,facebook,7. google Plus is evolving faster than facebook,better
S3063206217,Cadillac,Lexus,"Well if they can get enough power in the SRX, than Cadillac may actually have a better Crossover than the Lexus RX.",better
I1273454608,Windows 8,Windows 7,In my opinion Windows 8 is worlds better then Windows 7.,better
H1176221358,Scala,Java,I know you can write Scala as a 'better Java'.,better
H1179155668,Bluetooth,USB,I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.,worse
O2373627341,Sony,Dell,"That said, the solid metal base provides a 25-degree range of motion, and much more stability than you get from the Samsung Series 7 (DP700A3B-A01US) ($1,099 direct, 3.5 stars) or the Sony VAIO VPC-L231FX/W ($999.99 list, 4.5 stars), if less than you get with the Dell Inspiron One 2320 ($1,249.99 direct, 4 stars).",better
B268721327,AWK,Sed,And note that AWK probably is faster than Sed .,better
P2480034606,Nokia,Samsung,The extra Nokia apps give it an edge over Samsung and HTC and L920's design is just better.,better
A129263384,Amazon,Microsoft,"According to The New York Times, Amazon has an employee stack-ranking system every bit as bad - if not considerably worse - than did Ballmer's Microsoft.",worse
F824334293,Google,Microsoft,Google Docs sounds better than Microsoft Word.,better
C356868068,MySQL,PostgreSQL,"As for parallel mode MySQL retained its performance while PostgreSQL/PostGIS introduced some decrease in performance while still performing faster, now by 27.5% .",better
N2262702061,Sony,Google,"Sony, though having slower updates, does manage to optimize the OS much better than Google, yielding better results.",better
G998297861,hockey,football,I actually like hockey - it's easier to understand than football.. ;c),better
G1039183135,Windows 8,Windows 7,I'd avoid Windows 8 myself and buy Windows 7 (you'll find it an easier transition).,worse
O2330352103,Objective-C,Java,"Swift Swift is based on Objective-C, and will be even easier for a Java programmer to learn and use.",worse
K1716927885,milk,soda,"milk & water are just plain better than soda, tea or juice.",better
I1392685976,Toyota,Nissan,"I think the Toyota stopped fine, but the Nissan was definitely better.",worse
N2107539802,Apple,Microsoft,Right now Apple is worse then Microsoft ever was.,worse
N2253585678,Python,Lisp,"Some people find it easier to learn Python than Lisp, and some instructors don't want to spend the time to introduce a new language to students (admittedly, this is partly the fault of the authors of AIMA for producing a 1000 page book).",better
F823938067,Renault,Ferrari,Good to see again a Renault ahead of a Ferrari.,better
T3184481208,Windows 8,Windows 7,"Windows 8 sells 40 million copies to date, faster adoption than Windows 7",better
M1988327600,Perl,Java,Perl proto-typing and development is that much faster than C or Java.,better
O2345968306,kennedy,reagan,Ted kennedy would have been a much better president than reagan or Carter.,better
N2152757119,ds,wii,Seems like the ds online is better than the wii.,better
O2351021185,Bluetooth,USB,Tethering over Bluetooth is slower but being wireless is a great advantage over USB.,better
C354912866,plastic,wood,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.",better
I1288428640,Ford,BMW,"In some ways, especially with the Ford heavy duty trucks, they are superior to BMW and Cadillac, imo.)",better
D412277432,Java,Objective-C,But the fact is Cocoa-Java is slower than Cocoa-Objective-C.,worse
M2054203759,Python,JavaScript,"Python skills a plus, but not required, especially if you're solid at JavaScript.",better
Q2635240705,Scala,Java,"There are a lot of folks out there ready to adopt Scala simply as a ""better Java.",better
N2145344535,BMW,Ford,"Seating position: Slightly behind the BMW i3, basically on par with the Mercedes B-class and a bit better than the Volt and Ford Focus.",better
L1760944919,bread,sausage,"My Brit friends Denny and Gillian are continually disgusted by my affection for ""eggy bread"" and maple syrup, or worse-sausage studded with apple and raisins.",better
K1664169084,basketball,tennis,"Mainstream manly team sports like basketball and football are way, way cooler than sports such as table tennis and badminton.",better
E584184949,Direct3D,OpenGL,Direct3D is now better than OpenGL Says John Carmack,better
T3164961359,ps2,ps3,"While the ps2 was a lousy DVD player, the ps3 is a fantastic Blu-ray player.",worse
K1707560073,georgia,virginia,"Mercer leads at 556, one stroke better than georgia Tech with virginia Tech third at 565.",better
J1544954789,Java,PHP,Java as a language runs...much faster than PHP does.,better
H1158033276,Perl,AWK,I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,worse
M2047085030,ps2,wii,ps2 had a better online setup than the wii does.,better
I1395016582,Apple,Sony,"I think you have never tested Apple, they are far better than all other companies walking in the market including Sony.",better
N2120480346,Ruby,Python,"Ruby 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and Python are at today.",better
P2578097270,baseball,hockey,"The NFL and professional baseball are covered to death in this country, and hockey is just cooler.""",worse
J1441471629,Amazon,Microsoft,"Its Azure PaaS/IaaS platform hasn't overtaken Amazon yet in market share, but Microsoft has enjoyed nine straight quarters of growth at 10 percent or better .",worse
B211201052,baseball,tennis,"Also a bit of a bust is baseball, though, it's better than tennis.",better
T3156524109,oregon,georgia,"While Alabama proved they are leagues ahead of Notre Dame, oregon may have provided better competition, like Texas A&M and georgia did against the Crimson Tide.",better
T3207362683,wood,plastic,wood Cutting Boards are actually safer than plastic!,better
H1159277775,Java,PHP,I heard that Java servlets are faster than PHP...(load-balancing).,better
L1909870428,california,michigan,"Only california is projected to lose more graduates than michigan, and only Vermont will shrink faster.",worse
L1795713475,Ferrari,Renault,New Ferrari better than 2009 Renault - Alonso,better
B214756181,tennis,basketball,"Also I'm much better at tennis than I am at basketball, like a lot better.",better
P2465946535,Dell,Hewlett-Packard,"The divergence in performance is a turning point for Dell, which has lost personal-computer market share to Hewlett-Packard and suffered a worse stock performance every year from 2005 to 2009.",worse
F771824302,fox,cnn,fox has better ratings than cnn and MSNBC combined.,better
O2288679272,SQLite,MySQL,"# SQLite seems to be faster in almost all cases, and in some cases MySQL can be much slower.",better
K1726792514,metal,aluminum,Molten metal is better explained as aluminum,better
K1670866119,wood,cardboard,Man made boards of press wood are little better than rotten cardboard.,better
G1032889652,oregon,georgia,"I can understand some voters putting oregon fourth, based on their dominance -- they're 11 points a game better than georgia against a tougher schedule.",better
H1188824574,Sony,Dell,"I love the Apple Bluetooth keyboard , which is even better than the keyboard on my 18-inch Sony VAIO laptop and way better than the one that came with my Dell desktop PC.",better
T3184472002,Windows 8,Windows 7,"Windows 8 is far superior to Windows 7 when it comes to speed and SSD functionality, even 2D Image Quality.",better
K1591759928,Sigma,Nikon,"Knowing the lens measurements at Dxomark I think, the Sigma is for sure better than the Nikon 4/24-120.",better
J1434109733,Python,PHP,"It's a decent article, but I don't like how you turned it into a ""Python is so much better than PHP"" circlejerk",better
T3222153720,OpenCL,CUDA,"Yeah, Nvidia's OpenCL is not good and CUDA is way better.",worse
J1545009560,Java,Groovy,"Java has an impoverished model of abstraction; Groovy is a decent alternative (I find its syntax and a few language features a little weird at times, but when you come from a Lisp/Smalltalk background, languages with extensive syntax always seem a little crude :)",worse
S3090946788,Windows Vista,Windows XP,We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,worse
D429085368,PHP,Perl,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".",worse
F888831558,Python,PHP,"Hell, even a Python/Psyco combo would be infinitely better in that area than PHP.",better
J1454866486,Toyota,Ford,It's like giving up my Toyota because somebody promises that the new Ford is better.,worse
F830799432,wii,ps3,"Graphics, shmaphics ;) The Nindendo wii has uglier graphics but way more creative games than the ps3.",better
M2023103609,PostgreSQL,MySQL,PostgreSQL has better clustering support than MySQL so easier to support larger environments.,better
L1754065103,Python,Lisp,"Much better to ask what the strengths and weaknesses are of particular languages, eg. for programming a particular kind of task, for future employability of developers and maintainers, for compiler efficiency, for expressive completeness, for FFI, etc. Python clearly has many strengths that Lisp/scheme lack, also vica versa.",better
T3233947323,knife,pistol,"You also say, ""Additionally, it is equally as hard (I believe harder) to score a[n] incapacitating blow with a knife that with a pistol.""",worse
L1909328976,Apple,Sony,"Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",better
T3138244021,Audi,Lexus,"When the going gets twisty, the G37 shines with handling unquestionably better than the Audi A5 cabriolet and superior poise when pushed compared to the Lexus IS350c.",better
M2003242226,plastic,cardboard,plastic drawers are much more durable than cardboard boxes (and look nicer too!),better
P2469199001,ds,wii,"The ds versions looks really good, but wii could look alot better.",worse
J1503257848,MySQL,PostgreSQL,I've heard it said that MySQL is faster than PostgreSQL.,better
R2828645977,Integer,Floating-point,"This implementation is based on Integer arithmetic, while the second-generation versions RANLXS and RANLXD described above provide Floating-point implementations which will be faster on many platforms.",worse
K1706766983,PostgreSQL,MySQL,"Me: No, PostgreSQL is faster than MySQL.",better
C369095799,PHP,JavaScript,As much as I love PHP would it not be easier to implement this using JavaScript by hiding and showing layers dynamically depending on what is selected?,worse
B229011803,aluminum,steel,aluminum structure better than steel,better
H1201025316,amazon,google,I'm finding that amazon 's selection of apps are very limited and mediocre compared to google Play.,worse
M1988335981,Perl,Java,"Perl tries harder than Java by offering a taint mode, but you can still shoot yourself in the foot.",better
O2341220570,rubber,concrete,Tarmac and rubber are better choices than concrete and asphalt because they are less taxing to joints.,better
L1852608729,IBM,Intel,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",worse
H1155299001,MySQL,SQLite,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,worse
K1601652077,Honda,BMW,"Larry Fitzgerald upgraded from Derek Anderson to Kevin Kolb, but so far that's like upgrading from a Honda to an Accura...yeah it's better but you really wanted a BMW.",better
I1262972660,Integer,Floating-point,"In FPGAs, Integer or fixed-point math can often run 10 to 100 times faster than Floating-point computations.",better
A112691576,california,oregon,"A 5-2-1 california team went down, 27-7, then 5-1-1 oregon fell harder, 33-0.",better
E676553088,Lexus,Cadillac,"Every manufacturer churns out bad cars, but I think the Lexus is superior to Cadillac in terms of workmanship.",better
J1545110799,JavaScript,PHP,JavaScript is not made to build files... PHP is probably a better tool to build js files with text files.,worse
Q2762219902,wii,ps3,The wii version is inferior to the ps3 version in many ways though.,worse
O2356291690,Apple,Google,Thanks to Apple removing Google maps which is 1000x better.,worse
T3224820173,CUDA,OpenCL,"Yes, CUDA has been around longer, receives more support, and is a better product in almost all ways then OpenCL.",better
F801810445,Apple,Amazon,"Generally speaking Apple does far better with digital content around the globe than Amazon, Google or Microsoft.",better
J1430859596,Perl,Ruby,"I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):",better
O2374472881,Dell,Apple,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",worse
N2253944402,Python,PHP,"Some people think better in Python than in PHP, and God help anyone who thinks in LISP...",better
B218244037,softball,basketball,"Also, softball is weak, basketball is a much better sport, luckily I kept my cardio because I don't smoke spice.",worse
H1178737473,Microsoft,Sony,I like Microsoft better than Sony.,better
S3076590768,Python,PHP,"We reached to 10k websites as we speak, and we find it 100x harder to run Python than PHP.",worse
M1929526579,oregon,michigan,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",worse
T3277595215,youtube,amazon,"youtube just won't cut it for a screencast, so I found hosting the video myself (amazon S3), was a better solution.",worse
D440782812,california,carolina,california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,better
R2923646089,USB,Ethernet,"To me, the Thinkpad looks like a better laptop than the Macbook Air, because it's got an optical drive, three USB ports instead of one, built-in Ethernet, and a faster processor.",better
G1028186359,PostgreSQL,MySQL,"I can name several ways in which PostgreSQL is better than MySQL/InnoDB, but insert performance isn't one of them.",better
N2120512418,Ruby,Python,Ruby is even worse than Python.,worse
N2137844702,Scala,Java,Scala enums are inferior to Java enums _and_ are incompatible.,worse
S3024103739,Bluetooth,USB,We also plan to add Bluetooth support later but we do encourage our users to stay with USB for faster download.,worse
T3168747862,PostgreSQL,MySQL,WHITE PAPER: Many IT professionals generally recognize that PostgreSQL is better suited for enterprise database responsibilities than MySQL.,better
M2088982978,Dell,Intel,"Remember the Dell display is a little smaller, but I am guessing the Intel processer is a little better (not sure though).",worse
L1866048113,hockey,football,Of course it's vastly inferior like hockey than to real football so that would be your answer to that question.,worse
B285624154,Coca-Cola,Pepsi,"And this is what Coca-Cola generally advertise, that their drink tastes great, and therefore (indirectly) tastes better than any other drink (such as Pepsi).",better
J1464323506,Dell,Apple,It's safe to say that Dell is in a better place now than Apple was during its troubled years.,better
M1989843760,Samsung,Toshiba,"Personally, I see all of these major players in the hardware segment of the market all supporting Blu-Ray (Samsung, Panasonic, and LG, in addition to Sony) while only Toshiba has support for their format, as an indication that Blu-Ray is, at least from a technological standpoint, a superior format.",worse
O2419559001,Bluetooth,USB,The Bluetooth is convenient but the sound quality is so much better with the USB.,worse
O2328320097,Apple,Dell,"Susan, Apple monitors (especially the Cinema displays) are superb, much better than the Dell Ultrasharp.",better
S3047568913,california,georgia,"We had an option to go West, but the starter housing prices at the time in california made the decision to come to georgia a bit easier.",worse
B248631249,Python,Ruby,"(And both are a bit faster than Python on my benchmark, and way faster than Ruby.)",better
F785509493,Perl,Ruby,"From this benchmark alone, you can see, that Perl is superior to Ruby",better
L1839548903,USB,Bluetooth,"Not too big a deal, as USB is the faster connection method when compared against Bluetooth 1.2, anyway.",better
T3184479636,Windows 8,Windows 7,"Windows 8 reached  60 million unit sales by January , faster than Windows 7.",better
E704066745,Ferrari,BMW,"Ferrari was still leading the constructors' championship, but only by 3 points to BMW Sauber.",better
B326110412,cider,juice,"Apple cider vinegar will taste better then white, but lemon juice is the best tasting.",worse
F780994260,skiing,fishing,"From here on out the skiing will get worse, but fishing and flower gazing will improve.",worse
L1768113845,hockey,basketball,My hockey team was worse than my basketball team.,worse
I1248563780,Kingston,Intel,"In Crysis the Kingston 40GB again takes second place to the Intel in the SSD ranks, making it a pretty decent proposition for gaming.",worse
Q2753828157,Intel,IBM,"The vaunted Intel roadmap is nice, but no nicer than the AMD roadmap, and nothing that IBM couldn't have matched.",worse
P2543791443,Leica,Nikon,the Leica is at least 2X better than the Nikon,better
M2025908987,Ford,Honda,PPS: Can anyone tell my why my 1970 428 Ford (23mpg) got better millage than my Honda V-6? (17mpg).,better
R2938143597,Toyota,BMW,"Toyota is better than BMW at...providing reliable, economical auto transport.",better
J1436997053,Python,Java,It's also much easier to make a dog's breakfast of object programming in Python than in Java.,better
T3235149297,Perl,PHP,You are going to have a much easier time implementing it with an MVC Perl app than with PHP.,better
K1722130226,Ruby,Perl,"misunderstanding to think that Ruby is an attempt at better Perl,",worse
R2938116469,Toyota,BMW,"Toyota continues to dominate the market with an excellent 21.2% share this month thanks to 884 sales, ahead of BMW very solid at 631 units and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date.",better
R2874244173,california,michigan,"This truck spent half it's life in california, so the body is better than most michigan Ramchargers.",better
B271674367,phone,ipod,and playing on a phone would still be easier/more fun than on an ipod,better
O2388564543,Buick,Cadillac,The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine too.,better
E606655841,Microsoft,Dell,"Downloading the media yourself, installing, and then using the ""phone Microsoft to activate"" option might be faster than waiting for the media from Dell.",better
P2508158685,PostgreSQL,Oracle,"The graphical DB control clients available for PostgreSQL are significantly better than those available for Oracle (Toad), which cost $1K.",better
G1061425717,Java,Perl,Id prefer that we stick to conventional controversial subjects like which editor/os is better and why Java really is better than Perl.,better
J1535496541,Windows 8,Windows 7,"I wouldn't be too concerned about using Windows 8, Windows 7 is usually regarded as 'better'.",worse
T3184476893,Windows 8,Windows 7,"Windows 8 (MSFT) is being adopted at a slower rate than Vista, and slower than Windows 7, according to usage data from Net Applications.",worse
H1172635608,tennis,baseball,"I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.",worse
T3157630763,Direct3D,OpenGL,"While Direct3D works, OpenGL seems to give better texture quality and smoother frame rate in CS1.6.",worse
S3092715740,Java,PHP,"We wanted something more lightweight and faster to develop in than Java, and Rails sounded like more fun than PHP,"" Williams said.",better
S2994287920,OpenGL,Direct3D,Valve recently found that the OpenGL version of the Source Engine running on Ubuntu ran significantly faster than the Direct3D version running on Windows.,better
P2598964198,oregon,california,The oregon Parks were a bit nicer but I liked the california Coast more.,better
L1777203148,MySQL,PostgreSQL,MySQL works better on Windows than PostgreSQL does.,better
D439556328,Cadillac,Buick,"Cadillac will be able to command a higher price than Buick would be able to, thus helping to pay off development costs of teh Voltec and allow GM to lower the prices for this technology faster.",better
F824621386,Google,Apple,Google Maps works better than Apple Maps in my area .,better
L1919016402,georgia,virginia,"On the other hand, overall turnout grew at a slower pace in georgia than virginia or North Carolina after adjusting for population growth.",worse
D532684434,google,facebook,"Crapware, huh? google + is vastly superior to facebook?",better
L1813324493,Nokia,Samsung,"Nokia is just one of many Windows 8 phones, and not even the best because Samsung is far better!",worse
L1906766833,Dell,Microsoft,"One you match a better product with the power of so many manufacturers pushing (HP, Toshiba, Asus, Dell, Sony, etc) it's a mathematical certainty that Microsoft will dominate once again.",worse
B326787562,Apple,Microsoft,Apple: Worse for open source than Microsoft?,worse
L1785436877,stone,concrete,Natural stone pool coping has a superior advantage over pre-cast concrete and tile.,better
L1770666002,football,golf,"My main sport was football, but I was determined to get better at golf,"" Norwood says.",worse
N2120510232,Ruby,Python,"Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!",better
P2569316420,Windows 8,Windows 7,"Then again, without the Modern UI, Windows 8 doesn't offer many advantages, aside from faster performance, over Windows 7.",worse
E723700542,ds,wii,First off I will say I love the ds version better than the wii version.,better
E665867157,Ruby,Python,"Even assuming Ruby is better than Python, it doesn't matter.",better
H1113768957,BMW,Toyota,"If you go with the BMW X6, you'll have a much easier time finding a large enough space to park than you will with the Toyota Sequoia.",better
K1631921993,Groovy,Java,"Like these languages, Groovy is much easier to use and has a simpler syntax than Java.",better
A109112123,laptop,iphone,95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iphone.,worse
I1299904753,Python,Perl,In that regard we judged Python to be far superior to Perl.,better
M2068011329,BMW,Toyota,"Rather than take a sporty approach, and build a true rear-wheel drive competitor to the BMW 3-Series and Mercedes-Benz 190E sedans, Lexus took a much softer and safer route, basing their entry-level ES, or ""Executive Sedan,"" on the very un-sporty front-wheel drive Toyota Camry.",better
D406244566,pizza,bread,"But pizza dough is a lot easier and much more forgiving than bread making, I think.",better
Q2687766810,Java,Python,The SBCL implementation of Lisp is on par with Java 6 Server and is significantly faster than Ruby or Python.,better
D419845334,IBM,Intel,"But this week PC Magazine columnist John Dvorak speculates that the company could be about to make a switch itself, from Motorola/IBM chips to faster Intel ones.",worse
B286239436,OpenGL,Direct3D,"And though the OpenGL renderer does not support all effects in the game, we are more interested in simple texturing, which is no worse than in the main Direct3D version.",better
B317929057,PHP,Java,"Anyway, I agree that PHP is better (or at least easier to use) than Java for some things.",better
Q2774278666,wood,cardboard,They are very nice - with solid wood backs (not the cheap cardboard back type).,better
L1876291816,ds,ps2,"Oh noes, better graphics!!1 Funny how some playstation fanboys say that's what makes it better then ds but then say graphics don't matter when the fact that ps2 has the worse graphics is mentioned.",better
F737750108,Nikon,Sigma,"For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.",worse
M2054184575,Python,Java,Python is actually easier than C and Java which makes it easier for me to teach a student about it.,better
