id,object_a,object_b,aspect,sentence,most_frequent_label
104-6,the competition,canon,image sensors,"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",worse
104-6,they,nan,auto focus lenses,"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",better
104-6,nan,they,auto focus lenses,"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",worse
104-6,they,nan,quality in `` glass '',"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",better
104-6,nan,they,quality in `` glass '',"All in all canon makes better image sensors than really any of the competition , they have been a leader in auto focus lenses and quality in `` glass '' for a long time .",worse
106-10,it,nan,nan,"The lens kit is decent , it could be better but its still good for my purposes .",worse
106-10,nan,it,nan,"The lens kit is decent , it could be better but its still good for my purposes .",better
106-22,a camera,Nikkon D80,nan,Overall a camera I would highly recommond over Nikkon D80 if you have a low bugget .,better
106-22,Nikkon D80,a camera,nan,Overall a camera I would highly recommond over Nikkon D80 if you have a low bugget .,worse
107-11,It,camera,nan,It is the same camera but just lacking some features that you CAN live without .,same
107-11,camera,It,nan,It is the same camera but just lacking some features that you CAN live without .,same
107-8,it,my canon 30D,nan,I am also comparing it to my canon 30D ( sold the XT to buy the 30D ) which it can not keep up with in any situation .,worse
107-8,my canon 30D,it,nan,I am also comparing it to my canon 30D ( sold the XT to buy the 30D ) which it can not keep up with in any situation .,better
120-2,Rebel XTi/EOS400D,nan,LCD,Canon 's third generation Rebel XTi/EOS400D has a larger LCD ...,better
120-2,nan,Rebel XTi/EOS400D,LCD,Canon 's third generation Rebel XTi/EOS400D has a larger LCD ...,worse
122-18,This camera,most professional DSLRs,accoutrements,"This camera offers the same accoutrements as most professional DSLRs , without the price .",same
122-18,most professional DSLRs,This camera,accoutrements,"This camera offers the same accoutrements as most professional DSLRs , without the price .",same
122-20,composite metal compounds,nan,nan,Professional DSLRs like the Canon 5D are made of composite metal compounds that are significantly more heavy duty and significantly heavier .,worse
122-20,nan,composite metal compounds,nan,Professional DSLRs like the Canon 5D are made of composite metal compounds that are significantly more heavy duty and significantly heavier .,better
122-20,composite metal compounds,nan,nan,Professional DSLRs like the Canon 5D are made of composite metal compounds that are significantly more heavy duty and significantly heavier .,better
122-20,nan,composite metal compounds,nan,Professional DSLRs like the Canon 5D are made of composite metal compounds that are significantly more heavy duty and significantly heavier .,worse
122-23,LCD screen,nan,nan,"That said , the larger LCD screen is really an improvement .",better
122-23,nan,LCD screen,nan,"That said , the larger LCD screen is really an improvement .",worse
125-3,it,nan,gift,He says it 's the best gift he 's ever received !,better
125-3,nan,it,gift,He says it 's the best gift he 's ever received !,worse
126-1,this camera,my other pictures,nan,Right out of the box this camera blew all my other pictures away .,better
126-1,my other pictures,this camera,nan,Right out of the box this camera blew all my other pictures away .,worse
126-4,This,camera,nan,This is probably the best camera I 've ever used .,better
126-4,camera,This,nan,This is probably the best camera I 've ever used .,worse
128-102,bad performing high ISO digital,anything,performance,"Even bad performing high ISO digital performance is light years ahead of anything I ever got with a film camera with the sole exception of large format photography ( because you do n't enlarge it so much , so the grain is n't as obvious ) .",better
128-102,anything,bad performing high ISO digital,performance,"Even bad performing high ISO digital performance is light years ahead of anything I ever got with a film camera with the sole exception of large format photography ( because you do n't enlarge it so much , so the grain is n't as obvious ) .",worse
128-110,It,ISO 800 film,nan,It becomes noticeably less sharp above 800 but still quite usable and WAY better than ISO 800 film ever was .,better
128-110,ISO 800 film,It,nan,It becomes noticeably less sharp above 800 but still quite usable and WAY better than ISO 800 film ever was .,worse
128-110,It,nan,nan,It becomes noticeably less sharp above 800 but still quite usable and WAY better than ISO 800 film ever was .,worse
128-110,nan,It,nan,It becomes noticeably less sharp above 800 but still quite usable and WAY better than ISO 800 film ever was .,better
128-120,the meter,nan,nan,In addition I find that the meter is more accurate in odd lighting situations like night photography and side lighting .,better
128-120,nan,the meter,nan,In addition I find that the meter is more accurate in odd lighting situations like night photography and side lighting .,worse
128-127,Its,pro level film SLR,nan,Its got to be the best bang for your buck pro level film SLR ever made .,better
128-127,pro level film SLR,Its,nan,Its got to be the best bang for your buck pro level film SLR ever made .,worse
128-129,The D80,the F100,480 segment color matrix meter,The D80 has a ( theoretically ) far superior 480 segment color matrix meter vs the F100 .,better
128-129,the F100,The D80,480 segment color matrix meter,The D80 has a ( theoretically ) far superior 480 segment color matrix meter vs the F100 .,worse
128-135,both cameras,35mm film,nan,"The reality is that both cameras make stunning 8x10 prints and can be easily massaged to the 11x14 , 13x19 and sometimes as far as 16x20 with far more ease than 35mm film could ever do .",better
128-135,35mm film,both cameras,nan,"The reality is that both cameras make stunning 8x10 prints and can be easily massaged to the 11x14 , 13x19 and sometimes as far as 16x20 with far more ease than 35mm film could ever do .",worse
128-135,both cameras,both cameras,8x10 prints,"The reality is that both cameras make stunning 8x10 prints and can be easily massaged to the 11x14 , 13x19 and sometimes as far as 16x20 with far more ease than 35mm film could ever do .",same
128-135,both cameras,both cameras,8x10 prints,"The reality is that both cameras make stunning 8x10 prints and can be easily massaged to the 11x14 , 13x19 and sometimes as far as 16x20 with far more ease than 35mm film could ever do .",same
128-158,color meter,this method,nan,"I know this sounds really esoteric , but if you have a handheld color meter you will never get more accurate results than with this method .",worse
128-158,this method,color meter,nan,"I know this sounds really esoteric , but if you have a handheld color meter you will never get more accurate results than with this method .",better
128-176,the IR remote operation,nan,nan,In addition the IR remote operation is MUCH improved .,better
128-176,nan,the IR remote operation,nan,In addition the IR remote operation is MUCH improved .,worse
128-178,this,nan,nan,With the D80 you can set the amount of time you want the camera to be in IR mode and this is a HUGE improvement .,better
128-178,nan,this,nan,With the D80 you can set the amount of time you want the camera to be in IR mode and this is a HUGE improvement .,worse
128-18,the D70,the D50,single dial,It uses the dual command dials found on the D70 and higher DSLR 's and not the more cumbersome single dial of the D50 .,worse
128-18,the D50,the D70,single dial,It uses the dual command dials found on the D70 and higher DSLR 's and not the more cumbersome single dial of the D50 .,better
128-18,higher DSLR 's,the D50,single dial,It uses the dual command dials found on the D70 and higher DSLR 's and not the more cumbersome single dial of the D50 .,worse
128-18,the D50,higher DSLR 's,single dial,It uses the dual command dials found on the D70 and higher DSLR 's and not the more cumbersome single dial of the D50 .,better
128-206,D40,nan,nan,"If so , then you need to buy lenses and if money is tight you would be better served with a cheaper D40 since it offers the same image quality without some of the extra `` ease of use '' features but allows you to have more money for lenses .",better
128-206,nan,D40,nan,"If so , then you need to buy lenses and if money is tight you would be better served with a cheaper D40 since it offers the same image quality without some of the extra `` ease of use '' features but allows you to have more money for lenses .",worse
128-210,The D40/50/70,nan,money,The D40/50/70 will deliver everything you need for a lot less money .,better
128-210,nan,The D40/50/70,money,The D40/50/70 will deliver everything you need for a lot less money .,worse
128-213,all those cameras,all those cameras,image quality,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,same
128-213,all those cameras,all those cameras,image quality,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,same
128-213,all those cameras,all those cameras,auto-everything modes,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,same
128-213,all those cameras,all those cameras,auto-everything modes,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,same
128-213,D40/50/70,nan,nan,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,better
128-213,nan,D40/50/70,nan,If this describes your style then you really are not getting anything less by buying a cheaper D40/50/70 since all those cameras have great image quality and fantastic auto-everything modes .,worse
128-228,the D2X,nan,nan,"If you are hard on your gear and replace you gear more often because of breakage than wearing it out , then the D2X is a better buy .",better
128-228,nan,the D2X,nan,"If you are hard on your gear and replace you gear more often because of breakage than wearing it out , then the D2X is a better buy .",worse
128-245,a D80,a D200,nan,You 'd be hard pressed to find too many ( meaningful ) things that a D80 ca n't do vs. a D200 or even a D2X .,same
128-245,a D200,a D80,nan,You 'd be hard pressed to find too many ( meaningful ) things that a D80 ca n't do vs. a D200 or even a D2X .,same
128-245,a D80,a D2X,nan,You 'd be hard pressed to find too many ( meaningful ) things that a D80 ca n't do vs. a D200 or even a D2X .,same
128-245,a D2X,a D80,nan,You 'd be hard pressed to find too many ( meaningful ) things that a D80 ca n't do vs. a D200 or even a D2X .,same
128-267,The Wide Area AF option,nan,compositional freedom,The Wide Area AF option gives greater compositional freedom when shooting sports and action .,better
128-267,nan,The Wide Area AF option,compositional freedom,The Wide Area AF option gives greater compositional freedom when shooting sports and action .,worse
128-276,a large 0.94 x magnification,nan,view,"& # 149 Large , Bright Viewfinder The optical glass pentaprism viewfinder features a large 0.94 x magnification that ensures the clearest view possible for precise and easy composition , while overall viewfinder brightness makes low-light photography possible .",better
128-276,nan,a large 0.94 x magnification,view,"& # 149 Large , Bright Viewfinder The optical glass pentaprism viewfinder features a large 0.94 x magnification that ensures the clearest view possible for precise and easy composition , while overall viewfinder brightness makes low-light photography possible .",worse
128-280,in-camera effects and editing functions,nan,creative freedom,"& # 149 In-camera Image Editing and Effects Creative in-camera effects and editing functions are available under the Retouch menu , and provide greater creative freedom without the need of a computer .",better
128-280,nan,in-camera effects and editing functions,creative freedom,"& # 149 In-camera Image Editing and Effects Creative in-camera effects and editing functions are available under the Retouch menu , and provide greater creative freedom without the need of a computer .",worse
128-30,it,film cameras,nan,"Sure I would love extensive gasketing of all the joints and weatherproof buttons , but it 's not as critical as it used to be with film cameras that had a huge film door that let in dirt and dust directly into the internal parts of the camera .",better
128-30,film cameras,it,nan,"Sure I would love extensive gasketing of all the joints and weatherproof buttons , but it 's not as critical as it used to be with film cameras that had a huge film door that let in dirt and dust directly into the internal parts of the camera .",worse
128-301,an innovative user interface,nan,access,"Featuring an innovative user interface that provides easier access to powerful and visually intuitive enhancement tools , Capture NX 's powerful photo image processing and editing tools can also be applied to JPEG and TIFF files to satisfy a broader range of photofinishing needs and applications .",better
128-301,nan,an innovative user interface,access,"Featuring an innovative user interface that provides easier access to powerful and visually intuitive enhancement tools , Capture NX 's powerful photo image processing and editing tools can also be applied to JPEG and TIFF files to satisfy a broader range of photofinishing needs and applications .",worse
128-32,everything,the D70,laid out in a very traditional way,In general everything is laid out in a very traditional way just like the D70 but there have been a few tweaks on the outside that stand out .,same
128-32,the D70,everything,laid out in a very traditional way,In general everything is laid out in a very traditional way just like the D70 but there have been a few tweaks on the outside that stand out .,same
128-40,The D80,most other Nikon DSLR 's,plastic LCD cover,The D80 employs a separate replaceable plastic LCD cover like most other Nikon DSLR 's to protect the LCD .,same
128-40,most other Nikon DSLR 's,The D80,plastic LCD cover,The D80 employs a separate replaceable plastic LCD cover like most other Nikon DSLR 's to protect the LCD .,same
128-6,that DSLR 's,their 35mm film cameras,performance,Its obvious that DSLR 's are delivering performance that exceeds what most people were achieving with their 35mm film cameras .,better
128-6,their 35mm film cameras,that DSLR 's,performance,Its obvious that DSLR 's are delivering performance that exceeds what most people were achieving with their 35mm film cameras .,worse
128-66,it,shutter timers,nan,YES !!! I use a cable release all the time and I much prefer it to shutter timers or the IR remote control .,better
128-66,shutter timers,it,nan,YES !!! I use a cable release all the time and I much prefer it to shutter timers or the IR remote control .,worse
128-66,it,IR remote control,nan,YES !!! I use a cable release all the time and I much prefer it to shutter timers or the IR remote control .,better
128-66,IR remote control,it,nan,YES !!! I use a cable release all the time and I much prefer it to shutter timers or the IR remote control .,worse
128-73,The D70,nan,USB connection,The D70 has the USB connection in a separate compartment by itself and I did prefer that arrangement but I ca n't exactly explain why .,better
128-73,nan,The D70,USB connection,The D70 has the USB connection in a separate compartment by itself and I did prefer that arrangement but I ca n't exactly explain why .,worse
128-78,DOF preview placement,nan,nan,I would prefer a more traditional DOF preview placement .,better
128-78,nan,DOF preview placement,nan,I would prefer a more traditional DOF preview placement .,worse
128-81,it,its bigger brothers,expandability,The accessories list for the D80 is a mile long and it shares a lot of expandability with its bigger brothers ( D200 and D2X ) .,same
128-81,its bigger brothers,it,expandability,The accessories list for the D80 is a mile long and it shares a lot of expandability with its bigger brothers ( D200 and D2X ) .,same
129-128,the $ 700,the D200,save,"Lens Speaking of which , take the $ 700 you 'd save compared to the D200 and buy some decent lenses .",better
129-128,the D200,the $ 700,save,"Lens Speaking of which , take the $ 700 you 'd save compared to the D200 and buy some decent lenses .",worse
129-19,VI,EMACS,nan,"The argument as for which sized sensors are better often runs like the arguments between EMACS and VI users ( VI is better of course , it stands for Very Intuitive , after all ! )",better
129-19,EMACS,VI,nan,"The argument as for which sized sensors are better often runs like the arguments between EMACS and VI users ( VI is better of course , it stands for Very Intuitive , after all ! )",worse
129-20,The AKs,nan,nan,"or those between adherents of the M-16 and AK-47 ( The AKs are better of course , as the girls in Izhevsk are much prettier than those in Columbus , SC ) ... :-) Of course , the bigger the sensor size , the better , theoretically , except it cost a lot more , which means you have less money to spend on what 's really important , the lenses .",better
129-20,nan,The AKs,nan,"or those between adherents of the M-16 and AK-47 ( The AKs are better of course , as the girls in Izhevsk are much prettier than those in Columbus , SC ) ... :-) Of course , the bigger the sensor size , the better , theoretically , except it cost a lot more , which means you have less money to spend on what 's really important , the lenses .",worse
129-22,the 5D,the D200,cost,"This is all beyond the scope of this review , and needless to say , Google or Wiki can explain this much better than I. But damn , the 5D cost over $ 1000 more than the D200 .",worse
129-22,the D200,the 5D,cost,"This is all beyond the scope of this review , and needless to say , Google or Wiki can explain this much better than I. But damn , the 5D cost over $ 1000 more than the D200 .",better
129-75,The D80,the D50/D70,remote control,The D80 is compatible with the D50/D70 remote control .,same
129-75,the D50/D70,The D80,remote control,The D80 is compatible with the D50/D70 remote control .,same
129-87,a D200,nan,photos,Advantages of a D200 A bigger buffer allows you to take more photos in succession .,better
129-87,nan,a D200,photos,Advantages of a D200 A bigger buffer allows you to take more photos in succession .,worse
129-87,a D200,nan,buffer,Advantages of a D200 A bigger buffer allows you to take more photos in succession .,better
129-87,nan,a D200,buffer,Advantages of a D200 A bigger buffer allows you to take more photos in succession .,worse
132-20,The 10.2 MP resolution,the 6.1 MP resolution,nan,The 10.2 MP resolution the D80 is a significant jump from the 6.1 MP resolution that the D50/D70/D70s have .,better
132-20,the 6.1 MP resolution,The 10.2 MP resolution,nan,The 10.2 MP resolution the D80 is a significant jump from the 6.1 MP resolution that the D50/D70/D70s have .,worse
132-22,the D80,the D200,The viewfinder,The viewfinder is one of many parts that the D80 shares with the D200 and has 0.94 x magnification .,same
132-22,the D200,the D80,The viewfinder,The viewfinder is one of many parts that the D80 shares with the D200 and has 0.94 x magnification .,same
132-26,The D80,the D200,nan,The D80 supports shooting at 3 fps which is slightly faster than the D50 ( 2.5 fps ) and slower than the D200 which can shoot at a blazing fast 5fps .,worse
132-26,the D200,The D80,nan,The D80 supports shooting at 3 fps which is slightly faster than the D50 ( 2.5 fps ) and slower than the D200 which can shoot at a blazing fast 5fps .,better
132-26,The D80,the D50,nan,The D80 supports shooting at 3 fps which is slightly faster than the D50 ( 2.5 fps ) and slower than the D200 which can shoot at a blazing fast 5fps .,better
132-26,the D50,The D80,nan,The D80 supports shooting at 3 fps which is slightly faster than the D50 ( 2.5 fps ) and slower than the D200 which can shoot at a blazing fast 5fps .,worse
132-28,This,D70/D70s,nan,This is one better than the D70/D70s since you could n't use the built-in flash on that camera when you used the camera as the wireless flash commander .,better
132-28,D70/D70s,This,nan,This is one better than the D70/D70s since you could n't use the built-in flash on that camera when you used the camera as the wireless flash commander .,worse
132-31,nan,the D50/D70/D70s,RGB histogram,A definite step-up from the D50/D70/D70s which did not have an RGB histogram .,better
132-31,the D50/D70/D70s,nan,RGB histogram,A definite step-up from the D50/D70/D70s which did not have an RGB histogram .,worse
132-32,The D80,the D200,image overlay feature,The D80 also has an image overlay feature similar to the D200 but I 've not played around with this yet .,same
132-32,the D200,The D80,image overlay feature,The D80 also has an image overlay feature similar to the D200 but I 've not played around with this yet .,same
132-47,The D80,the D200,screen,The D80 shares the same 2.5 '' 230k LCD screen with the D200 .,same
132-47,the D200,The D80,screen,The D80 shares the same 2.5 '' 230k LCD screen with the D200 .,same
132-55,the D80,the D200,build quality,"Overall , the D80 build quality , while not up to the pro-level ruggedness of the D200 , is what you would expect from Nikon .",worse
132-55,the D200,the D80,build quality,"Overall , the D80 build quality , while not up to the pro-level ruggedness of the D200 , is what you would expect from Nikon .",better
132-57,This,the D80 's competitors,build,This compares favorably to the build of most of the D80 's competitors .,better
132-57,the D80 's competitors,This,build,This compares favorably to the build of most of the D80 's competitors .,worse
132-64,the ML-L3,Nikon-land,nan,"At $ 20 , the ML-L3 is one of the best bargains going in Nikon-land .",better
132-64,Nikon-land,the ML-L3,nan,"At $ 20 , the ML-L3 is one of the best bargains going in Nikon-land .",worse
132-69,the D80,the D50/D70/D70s cameras,the layout,Someone coming from a D50/D70/D70s will be up and running as the layout of the D80 is very similar to the D50/D70/D70s cameras .,same
132-69,the D50/D70/D70s cameras,the D80,the layout,Someone coming from a D50/D70/D70s will be up and running as the layout of the D80 is very similar to the D50/D70/D70s cameras .,same
132-72,the cameras,the D80,nan,"However , the cameras that the D80 is competing against are smaller still so it 's hard to fault the D80 too much .",better
132-72,the D80,the cameras,nan,"However , the cameras that the D80 is competing against are smaller still so it 's hard to fault the D80 too much .",worse
132-84,The D80,the D50,$ 400,Oh well ... Compared to the D50 and D200 The D80 is about $ 400 more than the D50 and $ 700 less than the D200 .,worse
132-84,the D50,The D80,$ 400,Oh well ... Compared to the D50 and D200 The D80 is about $ 400 more than the D50 and $ 700 less than the D200 .,better
132-84,The D80,D200,$ 700,Oh well ... Compared to the D50 and D200 The D80 is about $ 400 more than the D50 and $ 700 less than the D200 .,better
132-84,D200,The D80,$ 700,Oh well ... Compared to the D50 and D200 The D80 is about $ 400 more than the D50 and $ 700 less than the D200 .,worse
132-85,nan,the D50,nan,"For the $ 400 premium over the D50 , you get 10.2 MB vs 6.1 MP , an 11 area AF system vs 5 for the D50 , several buttons on the body so functions are not buried in the menus , and a depth of field preview button .",better
132-85,the D50,nan,nan,"For the $ 400 premium over the D50 , you get 10.2 MB vs 6.1 MP , an 11 area AF system vs 5 for the D50 , several buttons on the body so functions are not buried in the menus , and a depth of field preview button .",worse
132-89,the D80,the D200,body,What the D80 does not have is the D200 's rugged magnesium body and weather sealing .,worse
132-89,the D200,the D80,body,What the D80 does not have is the D200 's rugged magnesium body and weather sealing .,better
132-89,the D80,the D200,weather sealing,What the D80 does not have is the D200 's rugged magnesium body and weather sealing .,worse
132-89,the D200,the D80,weather sealing,What the D80 does not have is the D200 's rugged magnesium body and weather sealing .,better
132-91,The D80,the D200,speed,"The D80 also tops out at 1/4000 shutter speed vs 1/8000 for the D200 , flash sync of 1/200 vs 1/500 , and 3fps vs 5fps .",better
132-91,the D200,The D80,speed,"The D80 also tops out at 1/4000 shutter speed vs 1/8000 for the D200 , flash sync of 1/200 vs 1/500 , and 3fps vs 5fps .",worse
133-17,nothing,the Canon,nan,I looked at a few others but nothing really compared with the Canon .,better
133-17,the Canon,nothing,nan,I looked at a few others but nothing really compared with the Canon .,worse
137-29,They,product on the market,nan,They have the best product on the market as far as I 'm concerned .,better
137-29,product on the market,They,nan,They have the best product on the market as far as I 'm concerned .,worse
137-34,The Nikon basic 50mm,nan,nan,One of the sharpest AF lenses on the market is also one of the least expensive ... The Nikon basic 50mm .,better
137-34,nan,The Nikon basic 50mm,nan,One of the sharpest AF lenses on the market is also one of the least expensive ... The Nikon basic 50mm .,worse
137-34,The Nikon basic 50mm,nan,AF lenses,One of the sharpest AF lenses on the market is also one of the least expensive ... The Nikon basic 50mm .,better
137-34,nan,The Nikon basic 50mm,AF lenses,One of the sharpest AF lenses on the market is also one of the least expensive ... The Nikon basic 50mm .,worse
137-37,it,one of those big livingroom widescreens,looks,"Compared to the D70 screen , it looks like one of those big livingroom widescreens .",same
137-37,one of those big livingroom widescreens,it,looks,"Compared to the D70 screen , it looks like one of those big livingroom widescreens .",same
137-4,The Nikon D80,the D70,nan,The Nikon D80 is a superb creation and a big step up from the D70 ( which is a great camera in itself ) .,better
137-4,the D70,The Nikon D80,nan,The Nikon D80 is a superb creation and a big step up from the D70 ( which is a great camera in itself ) .,worse
137-5,The D80 body,the D70,nan,The D80 body is actually lighter than the D70 !,better
137-5,the D70,The D80 body,nan,The D80 body is actually lighter than the D70 !,worse
137-7,It,models costing far more,nan,It 's a very solid camera that compares with models costing far more .,same
137-7,models costing far more,It,nan,It 's a very solid camera that compares with models costing far more .,same
138-27,another,nan,nan,"I have not seen another that I consider better , or even as good .",better
138-27,nan,another,nan,"I have not seen another that I consider better , or even as good .",worse
138-27,another,nan,nan,"I have not seen another that I consider better , or even as good .",better
138-27,nan,another,nan,"I have not seen another that I consider better , or even as good .",worse
138-9,nan,my handset earpiece,Sound clarity,Sound clarity is as good as my handset earpiece .,same
138-9,my handset earpiece,nan,Sound clarity,Sound clarity is as good as my handset earpiece .,same
139-11,it,the beloved D70,nan,Somehow it just never had the punch per dollar of the beloved D70 or D70s .,worse
139-11,the beloved D70,it,nan,Somehow it just never had the punch per dollar of the beloved D70 or D70s .,better
139-11,it,D70s,nan,Somehow it just never had the punch per dollar of the beloved D70 or D70s .,worse
139-11,D70s,it,nan,Somehow it just never had the punch per dollar of the beloved D70 or D70s .,better
139-12,It,nan,nan,"It was better , but just a lousy value for 1700 dollars .",better
139-12,nan,It,nan,"It was better , but just a lousy value for 1700 dollars .",worse
139-13,The new Nikon D80,the D200,image quality,I just sold it for the D80 and here 's why : The new Nikon D80 is a 10 megapixel DSLR that essentially packs the same image quality of the D200 .,same
139-13,the D200,The new Nikon D80,image quality,I just sold it for the D80 and here 's why : The new Nikon D80 is a 10 megapixel DSLR that essentially packs the same image quality of the D200 .,same
139-14,the D80,nan,handling noise,In fact I think the D80 is better at handling noise and suppressing banding artifacts at higher ISO 's .,better
139-14,nan,the D80,handling noise,In fact I think the D80 is better at handling noise and suppressing banding artifacts at higher ISO 's .,worse
139-14,the D80,nan,suppressing banding artifacts at higher ISO 's,In fact I think the D80 is better at handling noise and suppressing banding artifacts at higher ISO 's .,better
139-14,nan,the D80,suppressing banding artifacts at higher ISO 's,In fact I think the D80 is better at handling noise and suppressing banding artifacts at higher ISO 's .,worse
139-15,This camera,Canon,high ISO 's,This camera gives Canon a run for the money at high ISO 's ... a first for Nikon in such a capable package .,worse
139-15,Canon,This camera,high ISO 's,This camera gives Canon a run for the money at high ISO 's ... a first for Nikon in such a capable package .,better
139-16,a D200,the D80,high ISO performance in post processing,It 's probably likely that a D200 can match the D80 high ISO performance in post processing .,same
139-16,the D80,a D200,high ISO performance in post processing,It 's probably likely that a D200 can match the D80 high ISO performance in post processing .,same
139-19,the D80,a P&S camera,upgrade,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",better
139-19,a P&S camera,the D80,upgrade,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",worse
139-19,the D80,D70,nan,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",better
139-19,D70,the D80,nan,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",worse
139-19,the D80,D200,nan,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",better
139-19,D200,the D80,nan,"The upshot of this is that the D80 , smaller than the D70 and D200 may be the best upgrade from a P&S camera ever built .",worse
139-20,It,a D70,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",better
139-20,a D70,It,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",worse
139-20,It,D200,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",better
139-20,D200,It,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",worse
139-20,It,D2H,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",better
139-20,D2H,It,results,"It allows a new user to get excellent results without the heavy post processing required for a D70 , D200 or D2H .",worse
139-25,it,the D200,frame rate,"Frankly , it 's just as capable as the D200 EXCEPT for the lower frame rate .",worse
139-25,the D200,it,frame rate,"Frankly , it 's just as capable as the D200 EXCEPT for the lower frame rate .",better
139-25,it,the D200,nan,"Frankly , it 's just as capable as the D200 EXCEPT for the lower frame rate .",same
139-25,the D200,it,nan,"Frankly , it 's just as capable as the D200 EXCEPT for the lower frame rate .",same
139-27,All,All,nan,All are fantastic cameras .,same
139-27,All,All,nan,All are fantastic cameras .,same
139-30,a D80,nan,nan,This single improvement is the BIGGEST reason to upgrade to a D80 or D200 as it allows for proper composition in all light and good manual focus .,better
